Judul Pelatihan;Jumlah Hari Pelatihan;Jumlah Jam Pelatihan Per Hari;tanggal awal;tanggal akhir;Biaya Pelatihan  Online; Biaya Pelatihan  Offline ;Online;Offline;Lokasi Pelatihan;"Contac Person
";No Telepon/ HP;Alamat Email ;;
Generator & Transformer Protection;2 Hari;8 Jam;09-Jan-25;10-Jan-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Bearing,Instalation,Lubrication Maintenance & Troubleshooting;2 Hari;8 Jam;23-Jan-25;24-Jan-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Outage Management;2 Hari;8 Jam;10-Feb-25;11-Feb-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Post Weld Heat Treatment (PWHT);2 Hari;8 Jam;13-Feb-25;14-Feb-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
General Affairs Professional;6 Hari;4;14-Feb-22;15-Feb-22;;;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Project Cost Managment;2 Hari;8 Jam;20-Feb-25;21-Feb-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Engine Lubrication;2 Hari;8 Jam;06-Mar-25;07-Mar-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Failur Mode Effect Analysys ( FMEA );2 Hari;8 Jam;07-May-25;08-May-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Pengamanan VIP/VVIP;2 Hari;8 Jam;14-May-25;15-May-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
Purchasing And Procurement Management;2 Hari;8 Jam;29-Apr-25;30-Apr-25; IDR  4.000.000 ; IDR  6.000.000 ;Yes;Yes;Jakarta/Bandung/Yoyakarta;Gunawan;082122836526;"gunawan@united-trainingdevelopment.com
";;
