Judul Pelatihan,Topik,Hari Pelatihan,Jam Pelatihan Per Hari,Tanggal Awal,Tanggal Akhir,Biaya Online,Biaya Offline,Online,Offline,Lokasi Pelatihan,Contact Person,No Telepon/HP,Alamat Email
Circuit Breakers Commisioning Operation & Maintenance,Electrical & Engineering,2 Hari,8 Jam,10-Feb-25,11-Feb-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Logic & Digital Control System,Electrical & Engineering,2 Hari,8 Jam,13-Aug-25,14-Aug-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Electrical power Transformer,Electrical & Engineering,2 Hari,8 Jam,09-Jan-25,10-Jan-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
"Start-up, Commissioning, and Testing of Electrical System",Electrical & Engineering,2 Hari,8 Jam,23-Jan-25,24-Jan-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Electrical Engenering Fundamental,Electrical & Engineering,2 Hari,8 Jam,10-Feb-25,11-Feb-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Electrical Engenering For Facilities Personal,Electrical & Engineering,2 Hari,8 Jam,29-Apr-25,30-Apr-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
"Electric Power Motor, Control, Generator, and Transformer",Electrical & Engineering,2 Hari,8 Jam,20-Feb-25,21-Feb-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Electrical Motor Protection,Electrical & Engineering,2 Hari,8 Jam,13-Aug-25,14-Aug-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Electrical Transmission And Distribution,Electrical & Engineering,2 Hari,8 Jam,12-Jun-25,13-Jun-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Circuit Breakers and Switchgears,Electrical & Engineering,2 Hari,8 Jam,05-Jun-25,06-May-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Distribute Control System (DCS) YOKOGAWA,Electrical & Engineering,2 Hari,8 Jam,19-Feb-25,20-Feb-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Electrical  Mechanical Safety,Electrical & Engineering,2 Hari,8 Jam,10-Feb-25,11-Feb-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Heavy Equipment Maintenance,Electrical & Engineering,2 Hari,8 Jam,13-Feb-25,14-Feb-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
"Gas Turbine, Operation, Compressor And Trouble Shooting",Electrical & Engineering,2 Hari,8 Jam,07-May-25,08-May-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Hazardous Area & Electric Safety Clasification,Electrical & Engineering,2 Hari,8 Jam,20-Feb-25,21-Feb-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Process Reactor Operation Troubleshooting Start-Up and Shutdown,Electrical & Engineering,2 Hari,8 Jam,20-Feb-25,21-Feb-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Power Systems Fault Analysis and Protection,Electrical & Engineering,2 Hari,8 Jam,06-Mar-25,07-Mar-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Mamajement Pembangkit Dan Distribusi Listrik PLTU,Electrical & Engineering,2 Hari,8 Jam,07-May-25,08-May-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
PLC & SCADA System,Electrical & Engineering,2 Hari,8 Jam,14-May-25,15-May-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Proses Control & Sistem Engeneering,Electrical & Engineering,2 Hari,8 Jam,29-Apr-25,30-Apr-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Electrical Power TRansformers,Electrical & Engineering,2 Hari,8 Jam,06-May-25,07-May-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Electrical Safety,Electrical & Engineering,2 Hari,8 Jam,15-May-25,16-May-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Management Repair & Overhaul,Electrical & Engineering,2 Hari,8 Jam,06-May-25,07-May-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Shutdown & Turnarround Management,Electrical & Engineering,2 Hari,8 Jam,14-May-25,15-May-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Uninteruptible Power Supplay,Electrical & Engineering,2 Hari,8 Jam,20-Feb-25,21-Feb-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Pemeliharaan Pompa,Electrical & Engineering,2 Hari,8 Jam,06-Mar-25,07-Mar-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Refractory & Heat Insulation,Electrical & Engineering,2 Hari,8 Jam,13-Feb-25,14-Feb-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Proses Control Instrumentation,Electrical & Engineering,2 Hari,8 Jam,21-May-25,22-May-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Shutdown and Turnaround Management,Electrical & Engineering,2 Hari,8 Jam,21-May-25,22-May-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Programmable Logic Contro Allen Bradley,Electrical & Engineering,2 Hari,8 Jam,13-Feb-25,14-Feb-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
PLC Siemens S7,Electrical & Engineering,2 Hari,8 Jam,19-Feb-25,20-Feb-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
P & ID,Electrical & Engineering,2 Hari,8 Jam,21-May-25,22-May-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
"Corrotion, Metallurgy, and Failur Prevention",Electrical & Engineering,2 Hari,8 Jam,19-Feb-25,20-Feb-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Advance PLC & Application,Electrical & Engineering,2 Hari,8 Jam,29-Apr-25,30-Apr-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Supervisi Pemeliharaan Pembangkit ,Electrical & Engineering,2 Hari,8 Jam,21-May-25,22-May-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Pengoperatian HRSH II,Electrical & Engineering,2 Hari,8 Jam,13-Feb-25,14-Feb-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Maintenance Management For Supervisor/Manager,Electrical & Engineering,2 Hari,8 Jam,16-Jan-25,17-Jan-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Asset Management Pilar SCM,Electrical & Engineering,2 Hari,8 Jam,27-May-25,28-May-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Enginering & Instrument Control Pembangkit,Electrical & Engineering,2 Hari,8 Jam,19-Feb-25,20-Feb-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Coal Stockpile Management,Electrical & Engineering,2 Hari,8 Jam,13-Feb-25,14-Feb-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Welding Technologi,Electrical & Engineering,2 Hari,8 Jam,19-Feb-25,20-Feb-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Management Overhaul,Electrical & Engineering,2 Hari,8 Jam,29-Apr-25,30-Apr-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
